layer	token	position	expert	role	format	max_reconstruction_error	mean_absolute_error	rmse	cosine_similarity	saturation_count	serialization_sha256
47	0	0	54	gate	int8_per_input_group_128	0.00119781494140625	0.00014476770593319088	0.00016970669094007462	0.9999700784683228	12579	50242c68079982ad56b22c187232177c6f71f3ed2d63cb31e44cecac16a9e1f4
47	0	0	54	up	int8_per_tensor	0.0009111985564231873	0.000455008092103526	0.0005255470750853419	0.9998016953468323	1	0a8a67e8b8707317f99788d849c85a0d623008a39e90aa115cf34ea9b2869f3b
47	0	0	54	up	int8_per_output_channel	0.0009109620004892349	0.0001957542699528858	0.000227325115702115	0.9999565482139587	783	f720fb8ee2aa86935e1d23b3e6bf11308d058e36edbaebc344467ef57c49592e
47	0	0	54	up	int8_per_input_group_128	0.0008987057954072952	0.00015017675468698144	0.00017609387577977031	0.9999702572822571	12577	5fffcd4516d9f697663f0d9dc913ad4fea417fa1691c025f935fe9718ff7111e
47	0	0	54	down	int8_per_tensor	0.0036582644097507	0.0018299546791240573	0.0021137811709195375	0.9967581629753113	1	7920aef91c85d1b0c868a3493b2461c0667c40fbee58970e85b5c54e76ed1567
47	0	0	54	down	int8_per_output_channel	0.0036582644097507	0.00017901517276186496	0.00021592910343315452	0.9999573826789856	2106	18592ef44a7170448f965c687877f8e302bff70e10158b4fc43023ec0f6eb078
47	0	0	54	down	int8_per_input_group_128	0.0036467295140028	0.00014736130833625793	0.00017711997497826815	0.9999682307243347	12585	1ec3aa3aaae7a140ad7c8a90ed470e27dd73765fdc63feaa1f9c8c8a0f0dd7b3
47	0	7	36	gate	int8_per_tensor	0.0014649038203060627	0.0007342716562561691	0.0008471886394545436	0.9993398785591125	1	a6ab0e2b63b40902ba5792c11378464d22020cb49a89e29da86083dced0beca6
47	0	7	36	gate	int8_per_output_channel	0.0014573950320482254	0.00017790724814403802	0.0002115387615049258	0.9999505281448364	798	5541b448d945b136f2f3742cb5ebb7f74e7a3d13c7ea7148af8dae7585930371
47	0	7	36	gate	int8_per_input_group_128	0.0014497051015496254	0.00013138537178747356	0.00015560303290840238	0.9999690651893616	12528	2455364fcadbea09a06375942d301d2db023ffc1a72e58f2ae35e3ff66bd5b95
47	0	7	36	up	int8_per_tensor	0.001414380967617035	0.0007077394984662533	0.0008172004600055516	0.9994704723358154	1	fb566ac6c340b4a759f87a9cbc43cbe787eb9850d117ac6688e004b0d2f17caa
47	0	7	36	up	int8_per_output_channel	0.001414380967617035	0.00019018352031707764	0.0002250811376143247	0.999951958656311	783	011ccdab0cc989bfd0094a513aba014f82cf38dca51aa2541226539e2548d4cf
47	0	7	36	up	int8_per_input_group_128	0.001412218902260065	0.00014094998186919838	0.00016628367302473634	0.9999697804450989	12534	83c6a4f212c6eff2582d0c243b92e1499145880626cc18a7884b987bf434d816
47	0	7	36	down	int8_per_tensor	0.004398345947265625	0.002198116621002555	0.002538534114137292	0.9947136044502258	1	4bd98f0746df767cad9af9a150ac13dd52a855f0311c8d0b1f97c2af47e6b8b3
47	0	7	36	down	int8_per_output_channel	0.004398345947265625	0.00017484562704339623	0.0002183971955673769	0.9999533891677856	2103	e66003fb1deba2ef51809391c4a79d6595abc6d91c110051494993e8d5d89cf2
47	0	7	36	down	int8_per_input_group_128	0.004340700805187225	0.00014115485828369856	0.00017295911675319076	0.9999678730964661	12510	d8df4ce5ffda7411e0c7decbbf4d9208274a2806bf78aaf30587e08690194e53
