layer	token	position	expert	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error	maximum_bf16_vs_rust_absolute_error	maximum_bf16_vs_rust_relative_error
1	0	0	68	gate_projection	1.14440917968750000e-5	3.63322760676965117e-5	7.91432757978327572e-5	1.28841400146484375e-2	2.53296375274658203e-1
1	0	0	68	up_projection	7.62939453125000000e-6	2.48881842708215117e-5	1.24564743600785732e-3	5.15327453613281250e-2	1.74806556701660156e1
1	0	0	68	activated_gate	1.14440917968750000e-5	3.48322755598928779e-5	7.89088298915885389e-5	9.68253612518310547e-3	2.55468517541885376e-1
1	0	0	68	activated_product	2.74658203125000000e-4	8.24974616989493370e-4	1.24516757205128670e-3	8.79638671875000000e-1	1.73271484375000000e1
1	0	0	68	down_projection	5.49316406250000000e-4	1.64894922636449337e-3	6.95792317856103182e-4	9.29107666015625000e-1	7.92313098907470703e0
1	0	0	68	routing_weight	5.06639480590820312e-7	6.29888290859526023e-6	1.63467620950541459e-6	6.13749027252197266e-4	1.97634915821254253e-3
1	0	0	68	weighted_expert_output	3.50952148437500000e-4	1.05385645292699337e-3	6.97426963597536087e-4	4.51766967773437500e-1	7.90358018875122070e0
1	0	7	127	expert_input	2.62260437011718750e-6	8.36781327961944044e-6	7.84979015588760376e-3	1.90060138702392578e-2	4.67811203002929688e0
1	0	7	127	gate_projection	3.09944152832031250e-6	3.63322760676965117e-5	5.49756281543523073e-4	6.42597675323486328e-3	2.41537380218505859e0
1	0	7	127	up_projection	1.78813934326171875e-6	2.48881842708215117e-5	4.82784671476110816e-4	6.12270832061767578e-3	6.44376575946807861e-1
1	0	7	127	activated_gate	3.21865081787109375e-6	3.48322755598928779e-5	5.49857504665851593e-4	7.16400146484375000e-3	2.41428875923156738e0
1	0	7	127	activated_product	1.49011611938476562e-6	8.24974616989493370e-4	5.42997498996555805e-4	8.85039567947387695e-3	2.40851068496704102e0
1	0	7	127	down_projection	4.02331352233886719e-7	1.64894922636449337e-3	7.58144655264914036e-4	2.07844376564025879e-3	7.90754795074462891e0
1	0	7	127	routing_weight	9.31322574615478516e-8	6.29888290859526023e-6	4.09549056712421589e-6	2.09115445613861084e-4	9.11209452897310257e-3
1	0	7	127	weighted_expert_output	3.81842255592346191e-8	1.05385645292699337e-3	7.54034728743135929e-4	9.27159562706947327e-5	7.83314180374145508e0
1	0	NA	NA	aggregated_moe_output	3.50952148437500000e-4	1.05385645292699337e-3	5.66942617297172546e-4	2.90908813476562500e-2	2.45188283920288086e0
1	0	NA	NA	moe_residual_addition	3.50952148437500000e-4	1.05385645292699337e-3	1.21394231915473938e-1	7.47942924499511719e-3	2.95201110839843750e0
1	0	NA	NA	final_block_output	3.50952148437500000e-4	1.05385645292699337e-3	1.21394231915473938e-1	7.47942924499511719e-3	2.95201110839843750e0
24	1	0	85	expert_input	4.05311584472656250e-6	1.26593477034475654e-5	5.59366866946220398e-2	8.18967446684837341e-2	5.73695640563964844e1
24	1	0	85	gate_projection	3.81469726562500000e-6	1.98813922906992957e-5	1.12329353578388691e-3	7.71431848406791687e-2	1.00709648132324219e1
24	1	0	85	up_projection	4.29153442382812500e-6	1.55898596858605742e-5	1.31929235067218542e-3	7.85405039787292480e-2	2.57664852142333984e1
