layer	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
31	attention_output	6.31809234619140625e-6	3.42130661010742188e-5	5.08852675557136536e-2
31	residual_output	2.31933593750000000e-3	2.35354900360107422e-3	1.19280209764838219e-2
31	post_attention_rmsnorm	1.98364257812500000e-4	6.95850793272256851e-3	1.19278142228722572e-2
32	input_rmsnorm	8.34465026855468750e-6	6.95850793272256851e-3	1.21752312406897545e-2
32	attention_output	5.70621341466903687e-6	3.07401642203330994e-5	7.21504539251327515e-3
32	residual_output	2.31933593750000000e-3	2.35007610172033310e-3	2.44315490126609802e-2
32	post_attention_rmsnorm	1.90734863281250000e-4	6.95850793272256851e-3	2.44319718331098557e-2
33	input_rmsnorm	6.67572021484375000e-6	6.95850793272256851e-3	7.13573116809129715e-3
33	attention_output	6.56396150588989258e-6	2.65911221504211426e-5	4.43688295781612396e-2
33	residual_output	2.31933593750000000e-3	2.34592705965042114e-3	1.43364630639553070e-2
33	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	1.43364602699875832e-2
34	input_rmsnorm	5.72204589843750000e-6	6.95850793272256851e-3	6.93895295262336731e-3
34	attention_output	3.21865081787109375e-6	2.03847885131835938e-5	5.58721609413623810e-2
34	residual_output	2.31933593750000000e-3	2.33972072601318359e-3	2.37652868032455444e-1
34	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	2.37653031945228577e-1
35	input_rmsnorm	7.39097595214843750e-6	6.95850793272256851e-3	3.13176847994327545e-2
35	attention_output	4.08291816711425781e-6	2.62558460235595703e-5	1.28046171739697456e-2
35	residual_output	2.31933593750000000e-3	2.34559178352355957e-3	7.61538445949554443e-1
35	post_attention_rmsnorm	1.44958496093750000e-4	6.95850793272256851e-3	7.61538684368133545e-1
36	input_rmsnorm	5.24520874023437500e-6	6.95850793272256851e-3	5.81879727542400360e-3
36	attention_output	1.52736902236938477e-6	1.72629952430725098e-5	8.56903642416000366e-2
36	residual_output	2.31933593750000000e-3	2.33659893274307251e-3	1.28481928259134293e-2
36	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	1.28488894551992416e-2
37	input_rmsnorm	5.24520874023437500e-6	6.95850793272256851e-3	5.41901849210262299e-2
37	attention_output	6.16908073425292969e-6	2.19047069549560547e-5	4.54341694712638855e-2
37	residual_output	2.31933593750000000e-3	2.34124064445495605e-3	2.56574731320142746e-2
37	post_attention_rmsnorm	1.90734863281250000e-4	6.95850793272256851e-3	2.56582759320735931e-2
38	input_rmsnorm	1.09672546386718750e-5	6.95850793272256851e-3	1.01421856880187988e0
38	attention_output	6.67572021484375000e-6	3.95774841308593750e-5	1.75255849957466125e-1
38	residual_output	2.31933593750000000e-3	2.35891342163085938e-3	1.46057922393083572e-2
38	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	1.46068381145596504e-2
39	input_rmsnorm	8.10623168945312500e-6	6.95850793272256851e-3	1.17290867492556572e-2
39	attention_output	3.81469726562500000e-6	2.81333923339843750e-5	6.65345415472984314e-2
39	residual_output	2.31933593750000000e-3	2.34746932983398438e-3	1.89745314419269562e-2
39	post_attention_rmsnorm	2.13623046875000000e-4	6.95850793272256851e-3	1.89749505370855331e-2
40	input_rmsnorm	2.09808349609375000e-5	6.95850793272256851e-3	1.27209117636084557e-2
40	attention_output	1.33514404296875000e-5	7.62939453125000000e-5	1.68795790523290634e-2
40	residual_output	2.31933593750000000e-3	2.39562988281250000e-3	2.66836080700159073e-2
40	post_attention_rmsnorm	2.13623046875000000e-4	6.95850793272256851e-3	2.66822837293148041e-2
41	input_rmsnorm	1.47819519042968750e-5	6.95850793272256851e-3	3.06107588112354279e-2
41	attention_output	1.04904174804687500e-5	5.48362731933593750e-5	9.17410701513290405e-2
41	residual_output	2.31933593750000000e-3	2.37417221069335938e-3	5.06402775645256042e-2
41	post_attention_rmsnorm	1.98364257812500000e-4	6.95850793272256851e-3	5.06401322782039642e-2
42	input_rmsnorm	1.47819519042968750e-5	6.95850793272256851e-3	1.81569736450910568e-2
